SPECIES,LONGITUDE,LATITUDE
Papilio_garamas,-101.60683,19.513704
Papilio_garamas,-99.132287,19.354462
Papilio_garamas,-97.167034,18.200653
Papilio_garamas,-102.073283,19.425931
Papilio_garamas,-99.023056,19.192222
Papilio_garamas,-99.456482,21.304728
Papilio_garamas,-97.340927,17.531537
Papilio_garamas,-99.194065,19.317762
Papilio_garamas,-96.722463,17.066754
Papilio_garamas,-99.767948,18.923863
Papilio_garamas,-99.812842,20.695329
Papilio_garamas,-100.457069,19.56577
Papilio_garamas,-99.169001,19.412142
Papilio_garamas,-99.168764,19.412184
Papilio_garamas,-99.168853,19.41203
Papilio_garamas,-99.217529,18.932269
Papilio_garamas,-96.4833,19.3269
Papilio_garamas,-99.121582,19.415969
Papilio_garamas,-100.977222,22.152778
Papilio_garamas,-98.88933,19.492329
Papilio_garamas,-99.01417,18.94056
Papilio_garamas,-99.0631,18.8836
Papilio_garamas,-99.099141,18.986026
Papilio_garamas,-102.283056,19.935
Papilio_garamas,-100.6125,21.781111
Papilio_garamas,-100.572778,21.666944
Papilio_garamas,-100.852778,22.149167
Papilio_garamas,-100.924722,22.219167
Papilio_garamas,-100.869444,22.2275
