sp.name,Longitude,Latitude
Caligo_uranus,-91.41,17.4563889
Caligo_uranus,-97.8519444,20.2252778
Caligo_uranus,-95.0386111,16.8419444
Caligo_uranus,-96.1277778,18.0816667
Caligo_uranus,-95.335,18.4369444
Caligo_uranus,-90.89,16.1152778
Caligo_uranus,-95.0997222,18.4191667
Caligo_uranus,-96.165,17.9119444
Caligo_uranus,-91.6255556,16.1455556
Caligo_uranus,-96.3511111,17.6036111
Caligo_uranus,-92.2255556,16.4672222
Caligo_uranus,-90.9230556,16.12
Caligo_uranus,-95.0580556,17.1413889
Caligo_uranus,-93.89,17.1033333
Caligo_uranus,-96.2883333,17.8125
Caligo_uranus,-96.3713889,17.5697222
Caligo_uranus,-96.3133333,17.6661111
Caligo_uranus,-94.9333333,18.3963889
Caligo_uranus,-96.3838889,17.7197222
Caligo_uranus,-98.9747222,21.3566667
Caligo_uranus,-95.2894444,18.5119444
Caligo_uranus,-94.7238889,17.0833333
Caligo_uranus,-90.9838889,16.8919444
Caligo_uranus,-90.9736389,16.898
Caligo_uranus,-90.97,16.9
Caligo_uranus,-96.1197222,17.8522222
Caligo_uranus,-97.8425,20.3741667
Caligo_uranus,-95.3013889,18.4933333
Caligo_uranus,-90.6541667,16.4055556
Caligo_uranus,-95.1597222,17.0477778
Caligo_uranus,-99.1597222,21.0208333
Caligo_uranus,-94.6719444,16.8797222
Caligo_uranus,-95.0638889,18.48
Caligo_uranus,-97.0963889,19.3091667
Caligo_uranus,-91.7663889,16.4927778
Caligo_uranus,-99.0366667,21.3880556
Caligo_uranus,-98.7619444,21.2575
Caligo_uranus,-93.9158333,16.5327778
Caligo_uranus,-92.1016667,15.6997222
Caligo_uranus,-91.3197222,16.16
Caligo_uranus,-92.8638889,17.1505556
Caligo_uranus,-96.2730556,17.695
Caligo_uranus,-91.3838889,17.4172222
Caligo_uranus,-96.4722222,15.8883333
Caligo_uranus,-96.3927777,15.9197222
Caligo_uranus,-89.4102777,17.9225
Caligo_uranus,-89.2994444,18.8105555
Caligo_uranus,-89.2980555,18.7522222
Caligo_uranus,-87.2886111,21.2844444
Caligo_uranus,-91.4023333,17.2641111
Caligo_uranus,-88.2730555,18.5392222
Caligo_uranus,-89.1095,18.1563
Caligo_uranus,-88.7877777,17.9877777
Caligo_uranus,-89.0591666,18.0988888
Caligo_uranus,-89.7533333,18.1841666
Caligo_uranus,-89.2927777,18.0583333
Caligo_uranus,-90.0188888,18.2005555
Caligo_uranus,-93.6654444,17.0070833
Caligo_uranus,-93.7013611,17.0348333
Caligo_uranus,-91.7276388,16.1341194
Caligo_uranus,-91.7271111,16.1375555
Caligo_uranus,-96.3159444,17.7555833
Caligo_uranus,-91.3061111,16.2
Caligo_uranus,-91.3061111,16.2030555
Caligo_uranus,-91.3002777,16.2022222
Caligo_uranus,-95.0706199,18.4823438
Caligo_uranus,-93.1307599,16.8965027
Caligo_uranus,-92.8049,15.6273999
Caligo_uranus,-90.9021447,16.2084252
Caligo_uranus,-97.5184888,20.0136369
Caligo_uranus,-90.8972308,16.2079925
Caligo_uranus,-90.9431761,16.6180327
Caligo_uranus,-98.9943258,21.3946808
Caligo_uranus,-95.0454711,18.355503
Caligo_uranus,-95.074868,18.5833483
Caligo_uranus,-97.0633199,18.8415008
Caligo_uranus,-90.9020375,16.2085902
Caligo_uranus,-90.9144283,16.6034416
Caligo_uranus,-95.1386488,18.5665308
Caligo_uranus,-90.8813094,16.1763361
Caligo_uranus,-90.8792494,16.179963
Caligo_uranus,-98.9761208,21.3626038
Caligo_uranus,-96.5354169,18.0699308
Caligo_uranus,-97.5095091,20.0399211
Caligo_uranus,-90.9016511,16.2089405
Callicore_piteas,-92.5033333,15.2788889
Callicore_piteas,-92.9705556,15.6419444
Callicore_piteas,-92.12,15.0386111
Callicore_piteas,-92.3922222,15.245
Callicore_piteas,-92.4469444,15.1311111
Callicore_piteas,-93.8616667,16.2255556
Callicore_piteas,-92.8366667,15.9497222
Callicore_piteas,-92.8580556,15.4241667
Callicore_piteas,-92.45,15.1158333
Callicore_piteas,-92.4030556,15.2380556
Callicore_piteas,-92.3866667,15.2930556
Callicore_piteas,-92.2533333,14.8705556
Callicore_piteas,-92.6322222,15.3055556
Callicore_piteas,-92.2351388,15.3737222
Callicore_piteas,-92.3819444,15.2974999
Callicore_piteas,-93.0647188,15.6674819
Dynamine_artemisia,-96.9275,19.54
Dynamine_artemisia,-96.17,18.13
Dynamine_artemisia,-96.1344444,19.1808333
Dynamine_artemisia,-96.3133333,17.6661111
Dynamine_artemisia,-90.89,16.1152778
Dynamine_artemisia,-96.3227778,17.6216667
Dynamine_artemisia,-96.165,17.9119444
Dynamine_artemisia,-96.3838889,17.7197222
Dynamine_artemisia,-91.6255556,16.1455556
Dynamine_artemisia,-95.1911111,18.3727778
Dynamine_artemisia,-95.0580556,17.1413889
Dynamine_artemisia,-96.2883333,17.8125
Dynamine_artemisia,-96.1197222,17.8522222
Dynamine_artemisia,-105.1505556,21.4844444
Dynamine_artemisia,-96.3055556,17.7036111
Dynamine_artemisia,-91.7327778,16.1166667
Dynamine_artemisia,-96.2658333,17.6675
Dynamine_artemisia,-96.9344444,19.0655556
Dynamine_artemisia,-95.335,18.4369444
Dynamine_artemisia,-91.7663889,16.4927778
Dynamine_artemisia,-96.3511111,17.6036111
Dynamine_artemisia,-98.7519444,21.2719444
Dynamine_artemisia,-92.12,15.0386111
Dynamine_artemisia,-91.9438889,17.49
Dynamine_artemisia,-92.5166667,17
Dynamine_artemisia,-92.0997222,17.3330556
Dynamine_artemisia,-102.8169444,23.2033333
Dynamine_artemisia,-92.3922222,15.245
Dynamine_artemisia,-93.9158333,16.5327778
Dynamine_artemisia,-93.3797222,16.75
Dynamine_artemisia,-93.3283333,16.7955556
Dynamine_artemisia,-96.2730556,17.695
Dynamine_artemisia,-91.3838889,17.4172222
Dynamine_artemisia,-93.6497222,16.9224999
Dynamine_artemisia,-91.6097499,17.1165277
Dynamine_artemisia,-91.5991666,16.9792777
Dynamine_artemisia,-93.2216388,16.8531666
